|   ## | Name                  | Team Name    | Pts   |   FP-Pts | Rebs   |   FP_reb | Ast   | T.O   | Pts+Ast   |   Pts+Rebs | Pts+Rebs+Ast   |
|------+-----------------------+--------------+-------+----------+--------+----------+-------+-------+-----------+------------+----------------|
|    1 | Jrue Holiday          | Bucks        | 16.5  |    19.25 | --     |     5.07 | 7.5   | 2.5   | 24.5      |       20.5 | 28.5           |
|    2 | Nicolas Claxton       | Nets         | 11.5  |    12.64 | 9.5    |     9.24 | --    | --    | 13.5      |       21.5 | 23.5           |
|    3 | Zach Collins          | Spurs        | --    |    11.6  | 8      |     6.38 | 3.5   | --    | 20.5      |       24.5 | 28.5           |
|    4 | Harrison Barnes       | Kings        | 15.5  |    15    | 5      |     4.46 | --    | --    | 16.5      |       20.5 | 22.5           |
|    5 | Chris Paul            | Suns         | 12.5  |    13.88 | 4.5    |     4.25 | 9     | --    | 21.5      |       16.5 | 25.5           |
|    6 | Devin Booker          | Suns         | 27.5  |    27.75 | 5      |     4.53 | 5     | 2.5   | 32.5      |       32.5 | 37.5           |
|    7 | Rudy Gobert           | Timberwolves | 12.5  |    13.52 | 11     |    11.61 | --    | 1.5   | 14.5      |       23.5 | 25.5           |
|    8 | Giannis Antetokounmpo | Bucks        | 31.5  |    31.1  | 12.5   |    11.79 | 6.5   | 3.5   | 38.5      |       43.5 | 50.5           |
|    9 | Kevin Porter Jr.      | Rockets      | 16.5  |    19.15 | 5      |     5.32 | 5.5   | --    | 22.5      |       21.5 | 27.5           |
|   10 | Patrick Beverley      | Bulls        | 6.5   |     6.06 | 4.5    |     3.65 | --    | --    | --        |       11.5 | --             |
|   11 | Alperen Sengun        | Rockets      | 13.5  |    14.79 | 8      |     9.04 | --    | 2.5   | 17.5      |       22.5 | 25.5           |
|   12 | Grayson Allen         | Bucks        | 10.5  |    10.42 | --     |     3.29 | --    | --    | 12.5      |       13.5 | --             |
|   13 | Mikal Bridges         | Nets         | 26.5  |    20.13 | --     |     4.39 | --    | 1.5   | 28.5      |       30.5 | 33.5           |
|   14 | Luka Doncic           | Mavericks    | 30.5  |    32.39 | 8      |     8.62 | 7.5   | --    | 38.5      |       38.5 | 46.5           |
|   15 | Anthony Davis         | Lakers       | 25.5  |    25.88 | 11.5   |    12.58 | --    | --    | 27.5      |       37.5 | 39.5           |
|   16 | DeMar DeRozan         | Bulls        | 22.5  |    24.54 | 5      |     4.66 | 5     | --    | 27.5      |       27.5 | 33.5           |
|   17 | Tre Jones             | Spurs        | 12.5  |    12.87 | 3.5    |     3.6  | 6     | 1.5   | 19.5      |       16.5 | 22.5           |
|   18 | Anthony Edwards       | Timberwolves | 22.5  |    12.87 | --     |     3.6  | 3.5   | --    | 25.5      |       26.5 | 30.5           |
|   19 | Karl-Anthony Towns    | Timberwolves | 17.5  |    12.87 | --     |     3.6  | 3.5   | 2.5   | 21.5      |       24.5 | 28.5           |
|   20 | Brook Lopez           | Bucks        | 17.5  |    12.87 | 7      |     3.6  | --    | --    | 19.5      |       24.5 | 26.5           |
|   21 | KJ Martin Jr.         | Rockets      | 14.5  |    12.87 | 5.5    |     3.6  | --    | --    | 15.5      |       19.5 | 21.5           |
|   22 | Spencer Dinwiddie     | Nets         | 18.5  |    12.87 | 3.5    |     3.6  | --    | --    | 28.5      |       22.5 | 31.5           |
|   23 | Mike Conley           | Timberwolves | 11.5  |    12.87 | 2.5    |     3.6  | 4.5   | --    | 16.5      |       13.5 | 18.5           |
|   24 | Dorian Finney-Smith   | Nets         | --    |    12.87 | 4      |     3.6  | --    | --    | --        |       11.5 | --             |
|   25 | Zach LaVine           | Bulls        | 26.5  |    12.87 | 4      |     3.6  | 4     | 2.5   | 30.5      |       30.5 | 35.5           |
|   26 | Keegan Murray         | Kings        | 12.5  |    12.87 | 5.5    |     3.6  | --    | 0.5   | 13.5      |       17.5 | 19.5           |
|   27 | Kevin Huerter         | Kings        | 14.5  |    12.87 | --     |     3.6  | --    | --    | 18.5      |       18.5 | 21.5           |
|   28 | Reggie Bullock        | Mavericks    | 7.5   |    12.87 | --     |     3.6  | --    | --    | --        |       10.5 | --             |
|   29 | Deandre Ayton         | Suns         | 15.5  |    12.87 | 9.5    |     3.6  | --    | --    | 16.5      |       24.5 | 26.5           |
|   30 | Cameron Johnson       | Nets         | 15.5  |    12.87 | 4      |     3.6  | --    | --    | 17.5      |       19.5 | 21.5           |
|   31 | Jabari Smith Jr.      | Rockets      | 13.5  |    12.87 | 7      |     3.6  | --    | --    | 15.5      |       21.5 | 22.5           |
|   32 | Jalen Green           | Rockets      | 21.5  |    12.87 | --     |     3.6  | --    | --    | 24.5      |       24.5 | 27.5           |
|   33 | Kyrie Irving          | Mavericks    | 24.5  |    12.87 | 4.5    |     3.6  | 5     | --    | 29.5      |       28.5 | 33.5           |
|   34 | Nikola Vucevic        | Bulls        | 15.5  |    12.87 | 10.5   |     3.6  | --    | --    | 19.5      |       26.5 | 29.5           |
|   35 | De'Aaron Fox          | Kings        | 24.5  |    12.87 | --     |     3.6  | 5.5   | --    | 30.5      |       28.5 | 34.5           |
|   36 | Domantas Sabonis      | Kings        | 19.5  |    12.87 | 12.5   |     3.6  | 7     | 2.5   | 26.5      |       31.5 | 38.5           |

31 players have at least one 'N/A' stat.
A total of 36 player objects in json file.
36/36 were printed out in table format.

